region,country,country-iso,full-name,url
Europe,Greece,GR,Alpha Bank  Computer Security Incident Response Team,https://www.first.org/members/teams/ab-csirt
Europe,Czechia,CZ,Accenture Cyber Fusion Center,https://www.first.org/members/teams/accenture
Central America,Costa Rica,CR,Access Now Digital Security Helpline,https://www.first.org/members/teams/access_now_digital_security_helpline
Europe,Spain,ES,Ackcent CERT,https://www.first.org/members/teams/ackcert
Europe,Austria,AT,ACOnet-CERT,https://www.first.org/members/teams/aconet-cert
North America,United States of America (the),US,Acuity Brands Product Security Incident Response Team,https://www.first.org/members/teams/acuity_brands_psirt
Middle East,United Arab Emirates (the),AE,Abu Dhabi Government Computer Emergency Response Team,https://www.first.org/members/teams/adgovcert
Europe,Germany,DE,adidas Cyber Security Incident Response Team,https://www.first.org/members/teams/adidas_csirt
North America,United States of America (the),US,Adobe Product Security Incident Response Team,https://www.first.org/members/teams/adobe_psirt
Middle East,United Arab Emirates (the),AE,Abu Dhabi Police CERT,https://www.first.org/members/teams/adpcert
Europe,Austria,AT,Austrian Energy CERT,https://www.first.org/members/teams/aec
Middle East,United Arab Emirates (the),AE,The United Arab Emirates - Computer Emergency Response Team,https://www.first.org/members/teams/aecert
Europe,Europe,EU,Airbus CERT,https://www.first.org/members/teams/ai_cert
North America,United States of America (the),US,Airbnb DART CSIRT,https://www.first.org/members/teams/airbnb_dart_csirt
Europe,Germany,DE,Airbus Cybersecurity and Computer Security Incident Response Team,https://www.first.org/members/teams/airbus_cybersecurity_and_csirt
Europe,Czechia,CZ,CSIRT ALEF NULA a.s.,https://www.first.org/members/teams/alef-csirt
Europe,France,FR,Axians Cybersecurity Paris,https://www.first.org/members/teams/alliacert
North America,United States of America (the),US,Amazon Security Incident Response Team,https://www.first.org/members/teams/amazon_sirt
Europe,Romania,RO,Amgen Global Information Protection,https://www.first.org/members/teams/amgngip
North America,United States of America (the),US,Apple Computer,https://www.first.org/members/teams/apple
Asia,Korea (the Republic of),KR,AhnLab Security E-response Center,https://www.first.org/members/teams/asec
Asia,China,CN,Alibaba Security Response Center,https://www.first.org/members/teams/asrc
Asia,Singapore,SG,A*STAR CERT TEAM,https://www.first.org/members/teams/astar_cert
North America,United States of America (the),US,AT&amp;T,https://www.first.org/members/teams/at-t
Oceania,Australia,AU,Australian Computer Emergency Response Team,https://www.first.org/members/teams/auscert
Oceania,Australia,AU,Australian Cyber Security Centre,https://www.first.org/members/teams/australian_cyber_security_centre
Europe,France,FR,AXA Global Security Incident Response Team,https://www.first.org/members/teams/axa_cert
Asia,Sri Lanka,LK,Axiata Group Security Operations Center,https://www.first.org/members/teams/axiata_soc
Central America,Mexico,MX,Axtel-CSIRT,https://www.first.org/members/teams/axtel-csirt
South America,Brazil,BR,Axur Csirt,https://www.first.org/members/teams/axur
South America,Argentina,AR,Centro de CiberSeguridad del Gobierno de la Ciudad Autónoma de Buenos Aires,https://www.first.org/members/teams/ba-csirt
North America,United States of America (the),US,Bank of America / Merrill Lynch Computer Incident Response Team,https://www.first.org/members/teams/bac-sirt
North America,United States of America (the),US,Booz Allen Hamilton Cyber Incident Response Team,https://www.first.org/members/teams/bah_cirt
Europe,Germany,DE,Global BASF CERT,https://www.first.org/members/teams/basf_gcert
Europe,Spain,ES,BBVA CERT,https://www.first.org/members/teams/bbva_cert
Europe,Spain,ES,Basque CyberSecurity Centre,https://www.first.org/members/teams/bcsc
Europe,Norway,NO,BDO CERT,https://www.first.org/members/teams/bdo_cert
North America,Canada,CA,Bell Canada Information Security Response / CIRT,https://www.first.org/members/teams/bell_ipcr
Europe,Belgium,BE,BELNET CERT,https://www.first.org/members/teams/belnet_cert
Europe,Norway,NO,Basefarm SIRT,https://www.first.org/members/teams/bf-sirt
Europe,Germany,DE,BFK edv consulting,https://www.first.org/members/teams/bfk
Asia,Bangladesh,BD,Bangladesh e-Government Computer Incident Response Team,https://www.first.org/members/teams/bgd_e-gov_cirt
Europe,Russian Federation (the),RU,BI.ZONE Computer Emergency Response Team,https://www.first.org/members/teams/bi-zone-cert
South America,Ecuador,EC,Blue Hat Cyber Security Incident Response Team,https://www.first.org/members/teams/blue_hat_cert
North America,Canada,CA,BMO InfoSec Incident Response Team,https://www.first.org/members/teams/bmo_isirt
Europe,Germany,DE,BMW Group CSIRT,https://www.first.org/members/teams/bmw
Europe,Germany,DE,Bosch Computer Emergency Response Team,https://www.first.org/members/teams/bosch_cert
North America,United States of America (the),US,Box Security Incident Response Team,https://www.first.org/members/teams/box_sirt
North America,United States of America (the),US,Brocade Security Incident Response Team,https://www.first.org/members/teams/brcdsirt
North America,United States of America (the),US,Bridgewater CIRT,https://www.first.org/members/teams/bridgewater_cirt
Asia,Brunei Darussalam,BN,Brunei Computer Emergency Response Team,https://www.first.org/members/teams/brucert
South America,Colombia,CO,Centro de Operaciones de Seguridad B-SECURE,https://www.first.org/members/teams/bs-csirt
Europe,United Kingdom of Great Britain and Northern Ireland (the),GB,British Telecommunications CERT Co-ordination Centre,https://www.first.org/members/teams/btcertcc
Asia,Bhutan,BT,Bhutan Computer Incident Response Team,https://www.first.org/members/teams/btcirt
Europe,United Kingdom of Great Britain and Northern Ireland (the),GB,The Bunker Security Team,https://www.first.org/members/teams/bunker
Asia,Macao,MO,BoardWare CSIRT,https://www.first.org/members/teams/bw_csirt
South America,Colombia,CO,Cyber Defense Operation Center,https://www.first.org/members/teams/c-doc
Asia,Singapore,SG,C3,https://www.first.org/members/teams/c3-certis
Asia,Kazakhstan,KZ,Center for Analysis and investigation of cyber-attacks,https://www.first.org/members/teams/caica
South America,Brazil,BR,Brazilian Academic and Research Network CSIRT,https://www.first.org/members/teams/cais-rnp
Europe,Spain,ES,CAIXABANK TEAM CSIRT,https://www.first.org/members/teams/caixabank_team_csirt
North America,United States of America (the),US,Security Intelligence Response Team,https://www.first.org/members/teams/capital_group
The Caribbean,Curaçao,CW,CARICERT,https://www.first.org/members/teams/caricert
Europe,Spain,ES,Agència de Ciberseguretat de Catalunya,https://www.first.org/members/teams/catalonia_cert
Oceania,Australia,AU,CBAcert,https://www.first.org/members/teams/cbacert
Europe,Switzerland,CH,upc cablecom security &amp; compliance Team,https://www.first.org/members/teams/cc-sec
North America,Canada,CA,Canadian Centre for Cyber Security,https://www.first.org/members/teams/cccs
Asia,Taiwan (Province of China),TW,CyCarrier Computer Security Incident Response Team,https://www.first.org/members/teams/cccsirt
Europe,Spain,ES,CCN-CERT (Spanish Government National Cryptologic Center - Computer Security Incident Response Team),https://www.first.org/members/teams/ccn-cert
Asia,Japan,JP,Cyber defense institute Incident Response Team,https://www.first.org/members/teams/cdi-cirt
Europe,Germany,DE,CERT BWI,https://www.first.org/members/teams/cert_bwi
Europe,France,FR,CERT CYBERPROTECT,https://www.first.org/members/teams/cert_cyberprotect
Central America,Guatemala,GT,Cyber Seguridad S.A.,https://www.first.org/members/teams/cert_cyberseg
Central America,Mexico,MX,CERT DSI Totalsec,https://www.first.org/members/teams/cert_dsi_totalsec
Oceania,New Zealand,NZ,CERT NZ,https://www.first.org/members/teams/cert_nz
Europe,Spain,ES,CERT OESÍA,https://www.first.org/members/teams/cert_oesia
Europe,Poland,PL,CERT Orange Polska,https://www.first.org/members/teams/cert_opl
Europe,France,FR,CERT Orange Cyberdefense,https://www.first.org/members/teams/cert_orange_cyberdefense
Europe,Poland,PL,CERT PKO Bank Polski,https://www.first.org/members/teams/cert_pko_bp
Europe,Poland,PL,Computer Emergency Response Team Polska,https://www.first.org/members/teams/cert_polska
Europe,Poland,PL,Zespół Reagowania na Incydenty Komputerowe – CERT PSE,https://www.first.org/members/teams/cert_pse
South America,Ecuador,EC,CERT RADICAL ALTERNATIVAS DE AVANZADA ALTRADICALAVAN CIA. LTDA.,https://www.first.org/members/teams/cert_radical
Europe,France,FR,CERT Societe Generale,https://www.first.org/members/teams/cert_sg
Europe,Croatia,HR,CERT team of the Information Systems Security Bureau,https://www.first.org/members/teams/cert_zsis
Europe,France,FR,CERT Credit Agricole,https://www.first.org/members/teams/cert-ag
Europe,Spain,ES,Aiuken Cybersecurity,https://www.first.org/members/teams/cert-aiuken
Central America,Mexico,MX,CERT-ATTMX,https://www.first.org/members/teams/cert-attmx
Europe,Germany,DE,CERT der Bundesagentur für Arbeit,https://www.first.org/members/teams/cert-ba
Europe,France,FR,CERT Banque de France,https://www.first.org/members/teams/cert-bdf
Europe,Germany,DE,CERT-Bund,https://www.first.org/members/teams/cert-bund
Europe,Estonia,EE,CERT Estonia,https://www.first.org/members/teams/cert-ee
Europe,Italy,IT,CERT-ENAV,https://www.first.org/members/teams/cert-enav
Europe,Europe,Europe,Computer Emergency Response Team (CERT-EU) for the EU institutions,https://www.first.org/members/teams/cert-eu
Europe,France,FR,CERT-FR,https://www.first.org/members/teams/cert-fr
Asia,Singapore,SG,Computer Security Incident Response Team CERT-GIB,https://www.first.org/members/teams/cert-gib
Asia,Georgia,GE,CERT Georgia - LEPL. Data Exchange Agency (Ministry of Justice of Georgia),https://www.first.org/members/teams/cert-gov-ge
Europe,Moldova (the Republic of),MD,Cyber Security Center CERT-GOV-MD,https://www.first.org/members/teams/cert-gov-md
Middle East,Israel,IL,Israel National Cyber Event Readiness Team,https://www.first.org/members/teams/cert-il
Asia,India,IN,Indian Computer Emergency Response Team,https://www.first.org/members/teams/cert-in
Europe,Iceland,IS,Computer Incident Response Team Iceland,https://www.first.org/members/teams/cert-is
Europe,France,FR,CERT France Industries,https://www.first.org/members/teams/cert-ist
Europe,Italy,IT,Computer Emergency Readiness Team - Lottomatica,https://www.first.org/members/teams/cert-ltm
Europe,Monaco,MC,CERT MONACO,https://www.first.org/members/teams/cert-mc
Africa,Mauritius,MU,Computer Emergency Response Team of Mauritius,https://www.first.org/members/teams/cert-mu
Central America,Mexico,MX,Centro Especializado en Respuesta Tecnologica de Mexico,https://www.first.org/members/teams/cert-mx
Europe,Switzerland,CH,Swiss Post CERT,https://www.first.org/members/teams/cert-post
Europe,France,FR,CERT-Renater,https://www.first.org/members/teams/cert-renater
Europe,Romania,RO,Romanian National Computer Security Incident Response Team,https://www.first.org/members/teams/cert-ro
Europe,Sweden,SE,CERT-SE,https://www.first.org/members/teams/cert-se
Europe,Ukraine,UA,Computer Emergency Response Team of Ukraine,https://www.first.org/members/teams/cert-ua
Europe,Germany,DE,CERT-VW,https://www.first.org/members/teams/cert-vw
Europe,Luxembourg,LU,Excellium Services CSIRT,https://www.first.org/members/teams/cert-xlm
Europe,Austria,AT,CERT.at,https://www.first.org/members/teams/cert-at
Asia,Azerbaijan,AZ,CERT Azerbaijan,https://www.first.org/members/teams/cert-az
Europe,Belgium,BE,Belgian Federal Cyber Emergency Team,https://www.first.org/members/teams/cert-be
South America,Brazil,BR,Computer Emergency Response Team Brazil,https://www.first.org/members/teams/cert-br
Europe,Belarus,BY,National CERT of Belarus,https://www.first.org/members/teams/cert-by
Asia,Azerbaijan,AZ,Azerbaijan Government CERT,https://www.first.org/members/teams/cert-gov-az
Europe,Croatia,HR,Croatian National CERT,https://www.first.org/members/teams/cert-hr
Europe,Latvia,LV,CERT.LV,https://www.first.org/members/teams/cert-lv
North America,United States of America (the),US,CERT Coordination Center,https://www.first.org/members/teams/cert-cc
Europe,Italy,IT,CERT Banca d’Italia,https://www.first.org/members/teams/certbi
Europe,Germany,DE,Computer Emergency Response Team Bundeswehr,https://www.first.org/members/teams/certbw
Europe,Italy,IT,CERTEGO Incident Response Team,https://www.first.org/members/teams/certego
Middle East,Israel,IL,Israeli Government CERT,https://www.first.org/members/teams/certgovil
South America,Uruguay,UY,Centro Nacional de Respuesta de Incidentes de Seguridad Informatica,https://www.first.org/members/teams/certuy
Asia,Japan,JP,Cyber Force Center,https://www.first.org/members/teams/cfc
Europe,Denmark,DK,Centre For Cyber Security,https://www.first.org/members/teams/cfcs-dk
South America,Colombia,CO,Cybersecurity Government Center and Digital Security CGCSD,https://www.first.org/members/teams/cgcsd
North America,Canada,CA,CGI Advanced Threat Management Team,https://www.first.org/members/teams/cgi_gsoc_atmo
Asia,China,CN,China Mobile Communications Co.,https://www.first.org/members/teams/china_mobile
Asia,Japan,JP,Chubu Electric Power Company Group CSIRT,https://www.first.org/members/teams/chuden-csirt
Africa,Côte d&#39;Ivoire,CI,Cote d'Ivoire Computer Emergency Response Team,https://www.first.org/members/teams/ci_cert
Europe,Spain,ES,Cipher CERT,https://www.first.org/members/teams/cipher_cert
Europe,Luxembourg,LU,CIRCL - Computer Incident Response Center Luxembourg,https://www.first.org/members/teams/circl
Europe,Montenegro,ME,National Montenegrin Computer Incident Response Team,https://www.first.org/members/teams/cirt-me
North America,United States of America (the),US,Cybersecurity and Infrastructure Security Agency,https://www.first.org/members/teams/cisa
North America,United States of America (the),US,Cisco Systems Product Security Incident Response Team,https://www.first.org/members/teams/cisco_psirt
North America,United States of America (the),US,Cisco Systems CSIRT,https://www.first.org/members/teams/cisco_systems
South America,Peru,PE,CLARO PERU Security Incident Response Team,https://www.first.org/members/teams/claro_peru_csirt
South America,Chile,CL,Applied Cryptography and Cybersecurity Laboratory,https://www.first.org/members/teams/clcert
Asia,China,CN,National Computer Network Emergency Response Technical Team / Coordination Center of China,https://www.first.org/members/teams/cncert-cc
Europe,Portugal,PT,Centro Nacional de Cibersegurança,https://www.first.org/members/teams/cncs-cert-pt
Europe,Germany,DE,Commerzbank CERT,https://www.first.org/members/teams/comcert
Europe,France,FR,CERT La Poste,https://www.first.org/members/teams/computer_emergency_response_team-la_poste
Europe,United Kingdom of Great Britain and Northern Ireland (the),GB,Context Information Security Incident Response Team,https://www.first.org/members/teams/context_is
North America,United States of America (the),US,Schneider Electric Corporate Product Cyber Emergency Response Team,https://www.first.org/members/teams/cpcert
North America,United States of America (the),US,CrowdStrike Security Incident Response Team (CSIRT),https://www.first.org/members/teams/crowdstrike
Europe,Spain,ES,CSA Equipo de Seguridad,https://www.first.org/members/teams/csa-csirt
South America,Uruguay,UY,ANTEL's Computer and Telecommunications Security Incident Response Centre,https://www.first.org/members/teams/csirt_antel
Europe,France,FR,Computer Security Incident Response Team BNP Paribas,https://www.first.org/members/teams/csirt_bnp_paribas
South America,Colombia,CO,COMPUTER SECURITY INCIDENT RESPONSE TEAM OF OLIMPIA DIGITAL,https://www.first.org/members/teams/csirt_olimpia
South America,Ecuador,EC,Centro de Respuesta a Incidentes de Ciberseguridad de Telconet,https://www.first.org/members/teams/csirt_telconet
South America,Colombia,CO,Computer Security Incident Response Team of the Colombian Informatics and Telecommunications Chamber,https://www.first.org/members/teams/csirt-ccit
South America,Ecuador,EC,CSIRT-CEDIA,https://www.first.org/members/teams/csirt-cedia
Europe,Spain,ES,Centro de Seguridad TIC de la Comunitat Valenciana,https://www.first.org/members/teams/csirt-cv
Europe,Cyprus,CY,Cyprus National Computer Security Incident Response Team,https://www.first.org/members/teams/csirt-cy
Europe,Germany,DE,Computer Security Incident Response Team - European Central Bank,https://www.first.org/members/teams/csirt-ecb
South America,Ecuador,EC,CSIRT-EPN,https://www.first.org/members/teams/csirt-epn
South America,Colombia,CO,Computer Security Incident Response Team - Empresa de Telecomunicaciones de Bogotá S.A. ESP,https://www.first.org/members/teams/csirt-etb
Europe,Ireland,IE,Computer Security Incident Response Team for Ireland,https://www.first.org/members/teams/csirt-ie
South America,Argentina,AR,YPF COMPUTER SECURITY INCIDENT RESPONSE TEAM,https://www.first.org/members/teams/csirt-ypf
Europe,Czechia,CZ,Czech National CSIRT,https://www.first.org/members/teams/csirt-cz
Europe,Slovakia,SK,Computer Security Incident Response Team Slovakia,https://www.first.org/members/teams/csirt-sk
Africa,Tunisia,TN,CSIRT.TN,https://www.first.org/members/teams/csirt-tn
Europe,Germany,DE,innogy SE Cyber Security Analysis &amp; Incident Response,https://www.first.org/members/teams/csirt-innogy
South America,Argentina,AR,Banelco Computer Security Incident Response Team,https://www.first.org/members/teams/csirtbanelco
South America,Colombia,CO,Response Team Computer Security Incident of the Colombian National Police,https://www.first.org/members/teams/csirtponal
Middle East,Bahrain,BH,CTM360 CIRT,https://www.first.org/members/teams/ctm360
Asia,Japan,JP,CyberAgent Computer Security Incident Response Team,https://www.first.org/members/teams/cyberagent_csirt
North America,United States of America (the),US,Cylance CSIRT,https://www.first.org/members/teams/cylcsirt
Asia,China,CN,Dahua Products Security Incident Response Team,https://www.first.org/members/teams/dahua_psirt
Europe,United Kingdom of Great Britain and Northern Ireland (the),GB,Dentsu Aegis Network CSIRT,https://www.first.org/members/teams/dan_csirt
Asia,cn,China,Beijing Data Star Observatory Co.,https://www.first.org/members/teams/data_star_observatory
Africa,Morocco,MA,Dataprotect-CSIRT,https://www.first.org/members/teams/dataprotect-csirt
Europe,Germany,DE,Deutsche Bahn Cyber Security Incident Response Team,https://www.first.org/members/teams/db_csirt
Asia,Singapore,SG,DBS Computer Emergency Response Team,https://www.first.org/members/teams/dbscert
Europe,Germany,DE,debis Computer Emergency Response Team,https://www.first.org/members/teams/dcert
Europe,United Kingdom of Great Britain and Northern Ireland (the),GB,Diageo CSIRT,https://www.first.org/members/teams/dcsirt
Europe,Netherlands (the),NL,Defensie Computer Emergency Response Team,https://www.first.org/members/teams/defcert
North America,United States of America (the),US,Dell Product Security Incident Response Team,https://www.first.org/members/teams/dell_psirt
Europe,Spain,ES,Deloitte ECC,https://www.first.org/members/teams/deloitte_ecc
Oceania,Australia,AU,Deloitte Australia Cyber Intelligence Centre,https://www.first.org/members/teams/deloitte-cicau
Asia,Japan,JP,DeNA Computer Emergency Response Team,https://www.first.org/members/teams/dena_cert
Europe,Germany,DE,Deutsche Bank Cyber Threat Response Team,https://www.first.org/members/teams/deutsche_bank
Europe,Germany,DE,Deutsche Telekom Group CERT,https://www.first.org/members/teams/deutsche_telekom_cert
Middle East,United Arab Emirates (the),AE,DEWA Cyber Defence Center,https://www.first.org/members/teams/dewa_cyber_defence_center
Europe,Germany,DE,DFN-CERT,https://www.first.org/members/teams/dfn-cert
South America,Colombia,CO,DigiSOC Computer Security Incident Response Team,https://www.first.org/members/teams/digicsirt
North America,United States of America (the),US,DePaul Incident Response Team,https://www.first.org/members/teams/dirt
Europe,Denmark,DK,Danish Computer Security Incident Response Team,https://www.first.org/members/teams/dkcert
Europe,Norway,NO,DNB Cyber Defense Center (IRT),https://www.first.org/members/teams/dnb_cdc
Asia,Japan,JP,DOCOMO Computer Security Incident Response Team,https://www.first.org/members/teams/docomo-csirt
Europe,United Kingdom of Great Britain and Northern Ireland (the),GB,Digital Shadows Security Incident Response Team,https://www.first.org/members/teams/ds-sirt
Asia,Singapore,SG,Defence Science &amp; Technology Agency Computer Security Incident Response Team,https://www.first.org/members/teams/dsta-csirt
Asia,Japan,JP,Deloitte Tohmatsu Computer Incident Response Team,https://www.first.org/members/teams/dt-cirt
Asia,Taiwan (Province of China),TW,Deloitte Taiwan CSIRT,https://www.first.org/members/teams/dttw-csirt
Middle East,United Arab Emirates (the),AE,du Security Incident Response Team,https://www.first.org/members/teams/du_sirt
North America,United States of America (the),US,Duke University and Duke Health,https://www.first.org/members/teams/duke
Europe,Spain,ES,DXC Technology Iberia CSIRT,https://www.first.org/members/teams/dxc_technology_iberia_csirt
Europe,Germany,DE,E.ON Cyber Emergency Response Team,https://www.first.org/members/teams/e-on_cert
North America,United States of America (the),US,eBay Global Information Security Monitoring and Response Team,https://www.first.org/members/teams/ebay_cert
Europe,Europe,EU,EC DIGIT CSIRC,https://www.first.org/members/teams/ec_digit_csirc
Africa,South Africa,ZA,Electronic Communications Security - Computer Security Incident Response Team,https://www.first.org/members/teams/ecs-csirt
Asia,Korea (the Republic of),KR,Education Cyber Security Center,https://www.first.org/members/teams/ecsc
South America,Ecuador,EC,Centro de Respuesta a Incidentes Informáticos de la Agencia de Regulación y Control de las Telecomunicaciones,https://www.first.org/members/teams/ecucert
Africa,Egypt,EG,Egyptian National Computer Emergency Response Team,https://www.first.org/members/teams/eg-cert
Europe,Norway,NO,Nkom EkomCERT,https://www.first.org/members/teams/ekomcert
Europe,Italy,IT,Enel CERT - Cyber Emergency Readiness Team,https://www.first.org/members/teams/enel_cert
Asia,Singapore,SG,Ensign Infosecurity,https://www.first.org/members/teams/ensign_infosecurity
Europe,Spain,ES,Entelgy Innotec CSIRT,https://www.first.org/members/teams/entelgy_innotec_csirt
Asia,Philippines (the),PH,ePLDT Cyber Security Incident Response Team,https://www.first.org/members/teams/epldt_csirt
Europe,Norway,NO,Equinor Computer Security Incident Response Team,https://www.first.org/members/teams/equinor_csirt
Europe,Finland,FI,Ericsson Product Security Incident Response Team,https://www.first.org/members/teams/ericsson_psirt
Europe,Spain,ES,Equipo de Respuesta a Incidentes - Sothis,https://www.first.org/members/teams/eris-cert
Europe,Europe,EU,ESA Computer and Communications Emergency Response Team,https://www.first.org/members/teams/esacert
Europe,Spain,ES,CERT of the Polytechnic University of Catalonia,https://www.first.org/members/teams/escert-upc
Europe,Spain,ES,eSOC Ingenia,https://www.first.org/members/teams/esoc_ingenia
Europe,Spain,ES,CERT – Mando Conjunto de Ciberdefensa,https://www.first.org/members/teams/esp_def_cert
South America,Colombia,CO,Computer Security incident response team of  ETEK International,https://www.first.org/members/teams/etek-csirt
Africa,Ethiopia,ET,Ethiopian Cyber Emergency Readiness and Response Team,https://www.first.org/members/teams/ethio-cert
Middle East,United Arab Emirates (the),AE,ETISALAT Computer Emergency Response,https://www.first.org/members/teams/etisalat-cert
Europe,Spain,ES,EULEN Seguridad-CCSI-CERT,https://www.first.org/members/teams/eulen-ccsi-cert
Europe,Spain,ES,everis CERT,https://www.first.org/members/teams/everis_cert
Asia,China,CN,Eversec Technology Co.,https://www.first.org/members/teams/eversec
Europe,Germany,DE,Evonik CERT,https://www.first.org/members/teams/evonik_cert
North America,Canada,CA,EWA-Canada / Canadian Computer Emergency Response Team,https://www.first.org/members/teams/ewa-canada-cancert
North America,United States of America (the),US,Ernst & Young LLP,https://www.first.org/members/teams/ey
North America,United States of America (the),US,Facebook Security Incident Response,https://www.first.org/members/teams/fb-sir
North America,United States of America (the),US,Fidelity Intelligence Operations CERT,https://www.first.org/members/teams/fidelity_io-cert
Europe,Russian Federation (the),RU,The Financial Sector Computer Emergency Response Team,https://www.first.org/members/teams/fincert
Asia,Japan,JP,Fujitsu Cloud CERT,https://www.first.org/members/teams/fjc-cert
Europe,Sweden,SE,Swedish Armed Forces CERT,https://www.first.org/members/teams/fm_cert
Europe,CERT,gr,Foundation for Research and Technology,https://www.first.org/members/teams/forthcert
North America,Canada,CA,FortiGuard Labs,https://www.first.org/members/teams/fortiguard
North America,United States of America (the),US,Forcepoint Product Security Incident Response Team,https://www.first.org/members/teams/fpsirt
Europe,France,FR,FRANCE MILITARY CERT,https://www.first.org/members/teams/fr-mil-cert
Europe,Austria,AT,FREQUENTIS Security Incident Response Team,https://www.first.org/members/teams/frequentis_sirt
Asia,Japan,JP,Fast Retailing Group Information Security Office,https://www.first.org/members/teams/frg_iso
Asia,Korea (the Republic of),KR,Financial Security Institute - Computer Emergency Response Team,https://www.first.org/members/teams/fsi-cert
Asia,Japan,JP,Fuji Xerox CERT,https://www.first.org/members/teams/fuji_xerox-cert
Europe,Germany,DE,Fujitsu Product Security Incident Response Team,https://www.first.org/members/teams/fujitsu_psirt
Europe,Finland,FI,Funet CERT,https://www.first.org/members/teams/funet_cert
South America,Colombia,CO,Gamma Ingenieros CSOC  - CSIRT,https://www.first.org/members/teams/gammacsoc-csirt
North America,United States of America (the),US,General Dynamics - Mission Systems,https://www.first.org/members/teams/gd-ms
North America,United States of America (the),US,General Electric Computer Incident Response Team,https://www.first.org/members/teams/ge-cirt
Europe,United Kingdom of Great Britain and Northern Ireland (the),GB,GEANT Association,https://www.first.org/members/teams/geant_cert
North America,United States of America (the),US,General Dynamics,https://www.first.org/members/teams/general_dynamics
North America,United States of America (the),US,Google Information Security Team,https://www.first.org/members/teams/gist
The Caribbean,Puerto Rico,PR,GM Security Technologies - Breach Readiness Team,https://www.first.org/members/teams/gmst_brt
Europe,Spain,ES,GMV-CERT,https://www.first.org/members/teams/gmv-cert
Europe,Czechia,CZ,Government CERT of the Czech Republic,https://www.first.org/members/teams/govcert-cz
Asia,Hong Kong,HK,Government Computer Emergency Response Team Hong Kong,https://www.first.org/members/teams/govcert-hk
Europe,Luxembourg,LU,CERT Gouvernemental du Luxembourg,https://www.first.org/members/teams/govcert-lu
Europe,Switzerland,CH,Hacknowledge SA,https://www.first.org/members/teams/hacknowledge
Europe,Sweden,SE,Handelsbanken Security Incident Response Team,https://www.first.org/members/teams/handelsbanken_sirt
Europe,Norway,NO,HelseCERT,https://www.first.org/members/teams/helsecert
North America,United States of America (the),US,Hewlett Packard Enterprise (HPE) PSRT,https://www.first.org/members/teams/hewlett_packard_enterprise-hpe-psrt
Asia,Japan,JP,Hitachi Incident Response Team,https://www.first.org/members/teams/hirt
North America,Canada,CA,Hitachi Systems Security Inc,https://www.first.org/members/teams/hitachi_systems_security
Asia,Hong Kong,HK,Hong Kong Computer Emergency Response Team Coordination Centre,https://www.first.org/members/teams/hkcert
North America,United States of America (the),US,Honeywell Combined Fusion Center,https://www.first.org/members/teams/honeywell_psirt_and_cirt
North America,United States of America (the),US,HP Enterprise Security - Global Security Incident Response Team,https://www.first.org/members/teams/hp_gsirt
North America,United States of America (the),US,HP Inc. Product Security Response Team,https://www.first.org/members/teams/hp_inc-psrt
Europe,United Kingdom of Great Britain and Northern Ireland (the),GB,Cybersecurity Incident Management &amp; Response Team,https://www.first.org/members/teams/hsbc_cybersecurity_imr
Asia,China,CN,Hikvision Security Response Center,https://www.first.org/members/teams/hsrc
Asia,China,CN,Huawei Products Security Incident Response Team,https://www.first.org/members/teams/huawei_psirt
Europe,Spain,ES,IBERDROLA Cyber-Security Incident Response Team,https://www.first.org/members/teams/iberdrola_csirt
North America,United States of America (the),US,IBM,https://www.first.org/members/teams/ibm
Europe,Spain,ES,ICA Sistemas y Seguridad CiberSOC,https://www.first.org/members/teams/ica_sistemas_y_seguridad_cibersoc
North America,United States of America (the),US,Internet Corporation for Assigned Names and Numbers - Computer Incident Response Team,https://www.first.org/members/teams/icann_cirt
South America,Argentina,AR,ICIC-CERT,https://www.first.org/members/teams/icic-cert
