region,country,country-iso,full-name,url
Asia,Taiwan (Province of China),TW,Information Communications Research Division - Computer Security Incident Response Team,https://www.first.org/members/teams/icrd-csirt
Asia,Indonesia,ID,Indonesia Security Incident Response Team on Internet Infrastructure coordination centre,https://www.first.org/members/teams/id-sirtii-cc
Asia,Korea (the Republic of),KR,IGLOO SECURITY - Cyber Emergency Response Team,https://www.first.org/members/teams/igloo-cert
Asia,Japan,JP,IIJ Group Security Coordination Team,https://www.first.org/members/teams/iij-sect
Central America,Mexico,MX,Computer Security Incident Response Team – Ikusi México / Micronet de México,https://www.first.org/members/teams/ikusi_csirt
Asia,Japan,JP,Intelli-CSIRT,https://www.first.org/members/teams/il-csirt
Middle East,Israel,IL,Israeli Academic CERT,https://www.first.org/members/teams/ilan-cert
Europe,Spain,ES,INCIBE-CERT (Spanish National Cybersecurity Institute - National CSIRT),https://www.first.org/members/teams/incibe-cert
North America,United States of America (the),US,Informatica Security Incident Reaponse Team,https://www.first.org/members/teams/infa-sirt
Europe,Germany,DE,Infineon Cyber Defense Center,https://www.first.org/members/teams/infineon_cdc
North America,United States of America (the),US,Infoblox PSIRT,https://www.first.org/members/teams/infoblox
Europe,Russian Federation (the),RU,IN4-CERT,https://www.first.org/members/teams/infosecurity_incident_response_team-in4-cert
Europe,Netherlands (the),NL,ING CCERT,https://www.first.org/members/teams/ing_ccert
North America,United States of America (the),US,Intel FIRST Team,https://www.first.org/members/teams/intel_first_team
Asia,Japan,JP,IPA-CERT,https://www.first.org/members/teams/ipa-cert
Central America,Mexico,MX,IQsec Cybersecurity Center,https://www.first.org/members/teams/iqsec_csirt
Asia,Singapore,SG,Infocommunications Singapore Computer Emergency Response Team,https://www.first.org/members/teams/isg-cert
Europe,France,FR,INTERPOL INFORMATION SECURITY INCIDENT RESPONSE,https://www.first.org/members/teams/isirt
Europe,Italy,IT,Intesa Sanpaolo CERT - Computer Emergency Readiness Team,https://www.first.org/members/teams/isp-cert
Europe,United Kingdom of Great Britain and Northern Ireland (the),GB,Barclays Information Security and Privacy,https://www.first.org/members/teams/ispirit
North America,United States of America (the),US,Information Technology Information Sharing and Analysis Center,https://www.first.org/members/teams/it-isac
Europe,Spain,ES,ITS Industrial Cybersecurity CERT,https://www.first.org/members/teams/its-cert
South America,Colombia,CO,IT SECURITY SERVICES S.A.S SOC CSIRT,https://www.first.org/members/teams/itssoc-csirt
South America,Peru,PE,JACKSECURITY IRT &amp; SOC (Security Operation Center) 24x7,https://www.first.org/members/teams/jacksecurity
Europe,United Kingdom of Great Britain and Northern Ireland (the),GB,Janet CSIRT,https://www.first.org/members/teams/janet_csirt
North America,United States of America (the),US,Department of Energy Integrated Joint Cybersecurity Coordination Center,https://www.first.org/members/teams/jc3-circ
North America,United States of America (the),US,Johnson Controls Product Security Incident Response Team,https://www.first.org/members/teams/johnson_controls_psirt
Asia,Japan,JP,JPCERT Coordination Center,https://www.first.org/members/teams/jpcert-cc
North America,United States of America (the),US,JPMorgan Chase Global Cyber Security,https://www.first.org/members/teams/jpmc-gcs
North America,United States of America (the),US,Juniper Networks Security Incident Response Team,https://www.first.org/members/teams/juniper_sirt
Europe,Belgium,BE,KBC Group CERT,https://www.first.org/members/teams/kbc_group_cert
North America,United States of America (the),US,Kimberly-Clark Cyber Security Incident Response Team,https://www.first.org/members/teams/kc-csirt
Asia,Japan,JP,KDDI Computer Security Incident Response Team,https://www.first.org/members/teams/kddi-csirt
Europe,Germany,DE,Karlsruhe Institute of Technology Computer Emergency Response Team,https://www.first.org/members/teams/kit-cert
Asia,Japan,JP,Kakaku.com Security Incident Response Team,https://www.first.org/members/teams/kkcsirt
Asia,Korea (the Republic of),KR,Korea National Computer Emergency Response Team,https://www.first.org/members/teams/kn-cert
Asia,Japan,JP,KONICA MINOLTA PSIRT,https://www.first.org/members/teams/konica_minolta_psirt
Europe,United Kingdom of Great Britain and Northern Ireland (the),GB,KPMG Cyber Response,https://www.first.org/members/teams/kpmg-csirt
Europe,Netherlands (the),NL,Computer Emergency Response Team of KPN,https://www.first.org/members/teams/kpn-cert
Europe,Norway,NO,KraftCERT,https://www.first.org/members/teams/kraftcert
Asia,Korea (the Republic of),KR,KrCERT/CC,https://www.first.org/members/teams/krcert-cc
Europe,Switzerland,CH,Kudelski Security CERT,https://www.first.org/members/teams/ks-cert
Asia,Kazakhstan,KZ,Kazakhstan Computer Emergency Response Team,https://www.first.org/members/teams/kz-cert
Asia,Japan,JP,LAC Advanced Corporate Emergency Readiness Team,https://www.first.org/members/teams/lacert
North America,United States of America (the),US,Lawrence Berkeley National Lab,https://www.first.org/members/teams/lawrence_berkeley_national_lab
North America,Canada,CA,LCL Cyber Command Center,https://www.first.org/members/teams/lcl_cyber_command_center
Europe,Italy,IT,Leonardo Computer Emergency Response Team,https://www.first.org/members/teams/ldo-cert
North America,United States of America (the),US,Leidos - Incident Response Team,https://www.first.org/members/teams/leidos-irt
North America,United States of America (the),US,Lenovo Product Security Incident Response Team,https://www.first.org/members/teams/lenovo_psirt
Asia,Japan,JP,LINE Computer Security Incident Response Team,https://www.first.org/members/teams/line-csirt
Europe,Lithuania,LT,LITNET CERT,https://www.first.org/members/teams/litnet_cert
Europe,Sweden,SE,LiU IRT,https://www.first.org/members/teams/liu_irt
North America,United States of America (the),US,Lockheed Martin Computer Incident Response Team,https://www.first.org/members/teams/lm-cirt
North America,United States of America (the),US,Lookingglass Cyber Solutions Threat Team,https://www.first.org/members/teams/lookingglass_cert
Europe,Germany,DE,Lufthansa Group CERT,https://www.first.org/members/teams/lufthansa_group_cert
Africa,Morocco,MA,Direction de gestion du centre de veille,https://www.first.org/members/teams/macert
South America,Ecuador,EC,MAINTLATAM CSIRT,https://www.first.org/members/teams/maintlatam_csirt
North America,United States of America (the),US,Mandiant/FireEye,https://www.first.org/members/teams/mandiant_security
Europe,Spain,ES,Equipo de Respuesta a incidentes de Seguridad de la Información del CCG de MAPFRE,https://www.first.org/members/teams/mapfre-ccg-cert
Asia,Japan,JP,Mitsui Bussan Secure Directions Security Incident Response Team,https://www.first.org/members/teams/mbsd-sirt
Asia,Singapore,SG,Ministry of Home Affairs,https://www.first.org/members/teams/mha_csc
Europe,Austria,AT,Military Computer Emergency Readiness Team Austria,https://www.first.org/members/teams/milcert_at
Europe,Spain,ES,Minsait CSIRT,https://www.first.org/members/teams/minsait_csirt
Europe,Norway,NO,mnemonic Incident Response Team,https://www.first.org/members/teams/mirt
North America,United States of America (the),US,MarkMonitor,https://www.first.org/members/teams/mm
Asia,Mongolia,MN,Mongolian Cyber Emergency Response Team / Coordination Center,https://www.first.org/members/teams/mncert-cc
Central America,Mexico,MX,Mnemo-CERT,https://www.first.org/members/teams/mnemo-cert
North America,United States of America (the),US,Morgan Stanley Computer Emergency Response Team,https://www.first.org/members/teams/morgan_stanley
Asia,Korea (the Republic of),KR,Ministry Of Trade,https://www.first.org/members/teams/motie-csc
North America,United States of America (the),US,Microsoft Security Response Center Team,https://www.first.org/members/teams/mscert
Europe,Malta,MT,Government of Malta Computer Security Incident Response Team,https://www.first.org/members/teams/mt-csirt
Asia,Japan,JP,Mitsubishi UFJ Financial Group - CERT,https://www.first.org/members/teams/mufg-cert
Europe,Serbia,RS,Centar za reagovanje na napade na informacioni sistem,https://www.first.org/members/teams/mup_cert
Asia,Malaysia,MY,Malaysian Computer Emergency Response Team,https://www.first.org/members/teams/mycert
Europe,United Kingdom of Great Britain and Northern Ireland (the),GB,N-CERT Nettitude Computer Emergency Response Team,https://www.first.org/members/teams/n-cert
Oceania,Australia,AU,National Australia Bank - nabCERT,https://www.first.org/members/teams/nabcert
Europe,United Kingdom of Great Britain and Northern Ireland (the),GB,National Cyber Security Centre (UK),https://www.first.org/members/teams/national_cyber_security_centre-uk
Africa,Kenya,KE,The National Kenya Computer Incident Response Team - Coordination Centre,https://www.first.org/members/teams/national_ke-cirt-cc
Asia,Korea (the Republic of),KR,NAVER Business Platform Computer Security Incident Response Team,https://www.first.org/members/teams/naver-csirt
North America,United States of America (the),US,NBCU-ISRT,https://www.first.org/members/teams/nbcu-isrt
Europe,Belgium,BE,NATO Computer Incident Response Capability - Coordination Center,https://www.first.org/members/teams/ncirc_cc
Europe,Hungary,HU,National Cyber Security Center,https://www.first.org/members/teams/ncsc_hungary
Europe,Finland,FI,National Cyber Security Centre Finland,https://www.first.org/members/teams/ncsc-fi
Europe,Netherlands (the),NL,National Cyber Security Centre of The Netherlands,https://www.first.org/members/teams/ncsc-nl
Europe,Norway,NO,National Cyber Security Centre in Norway,https://www.first.org/members/teams/ncsc-no
Europe,Switzerland,CH,National Cyber Security Centre Switzerland,https://www.first.org/members/teams/ncsc-ch
Asia,Japan,JP,NRI SecureTechnologies Computer Security Incident Response Team,https://www.first.org/members/teams/ncsirt
South America,Brazil,BR,CSIRT of NEC Cibernética Brasil,https://www.first.org/members/teams/nec_cib_csirt
South America,Chile,CL,Neosecure S.A.,https://www.first.org/members/teams/neosecure
Europe,Switzerland,CH,Nestlé Cyber Security Operations Center,https://www.first.org/members/teams/nestlesoc
North America,United States of America (the),US,NetApp Security Incident Response,https://www.first.org/members/teams/netapp_sirt
North America,United States of America (the),US,Netflix Security Intelligence and Response Team,https://www.first.org/members/teams/netflix_sirt
North America,United States of America (the),US,Neustar Computer Incident Response Team,https://www.first.org/members/teams/neucirt
Africa,Nigeria,NG,Nigerian Computer Emergency Response Team,https://www.first.org/members/teams/ngcert
Europe,United Kingdom of Great Britain and Northern Ireland (the),GB,National Grid Cyber Response Team,https://www.first.org/members/teams/ngrid_csirt
North America,United States of America (the),US,NIH Incident Response Team,https://www.first.org/members/teams/nihirt
Asia,Korea (the Republic of),KR,National Information Resources Service Computer Emergency Response Team,https://www.first.org/members/teams/nirs-cert
Asia,Japan,JP,National Center of Incident Readiness and Strategy for Cybersecurity,https://www.first.org/members/teams/nisc
North America,United States of America (the),US,NIST IT Security,https://www.first.org/members/teams/nist
Europe,Lithuania,LT,National Cyber Security Centre under the MoD,https://www.first.org/members/teams/nksc-cert-lt
Europe,Norway,NO,Nordic Financial CERT,https://www.first.org/members/teams/nordic_financial_cert
Europe,Denmark,DK,NORDUnet,https://www.first.org/members/teams/nordunet
South America,Chile,CL,Novared. S. A,https://www.first.org/members/teams/novared
Europe,Lithuania,LT,NRD Cybersecurity Incident Response Team,https://www.first.org/members/teams/nrd_cirt
Asia,Japan,JP,NTT Communications Security Incident Response Team,https://www.first.org/members/teams/ntt_com-sirt
North America,United States of America (the),US,NTT Security Incident Response Services Team,https://www.first.org/members/teams/ntt_security_ir_services_team
Asia,Japan,JP,NTT Computer Security Incident Response and Readiness Coordination Team,https://www.first.org/members/teams/ntt-cert
Asia,Japan,JP,NTTDATA-CERT,https://www.first.org/members/teams/nttdata-cert
North America,United States of America (the),US,Northwestern University,https://www.first.org/members/teams/nu-cert
Asia,Singapore,SG,NUS Computer Emergency Response Team,https://www.first.org/members/teams/nuscert
North America,United States of America (the),US,NVIDIA PSIRT,https://www.first.org/members/teams/nvidia_psirt
Europe,United Kingdom of Great Britain and Northern Ireland (the),GB,O2 Cert,https://www.first.org/members/teams/o2
Middle East,Oman,OM,Oman National CERT,https://www.first.org/members/teams/ocert
Europe,Switzerland,CH,Oneconsult International Computer Security Incident Response Team,https://www.first.org/members/teams/ocint-csirt
North America,United States of America (the),US,World Bank Group Office of Information Security Incident Response,https://www.first.org/members/teams/oisir
Asia,Taiwan (Province of China),TW,Onward Cybersecurity Center,https://www.first.org/members/teams/onward_csc
North America,United States of America (the),US,Oracle Global Product Security,https://www.first.org/members/teams/oracle
Europe,France,FR,Orange-CERT Coordination Center,https://www.first.org/members/teams/orange-cert-cc
Europe,Denmark,DK,Orsted SAC,https://www.first.org/members/teams/orsted_sac
Europe,Switzerland,CH,Open Systems AG Computer Emergency Response Team,https://www.first.org/members/teams/os-cert
Asia,China,CN,OPPO Security Response Center,https://www.first.org/members/teams/osrc
North America,United States of America (the),US,The Ohio State University Incident Response Team,https://www.first.org/members/teams/osu-irt
Europe,Portugal,PT,OutSystems Computer Security Incident Response Team,https://www.first.org/members/teams/outsystems_csirt
Europe,United Kingdom of Great Britain and Northern Ireland (the),GB,Oxford University Computer Emergency Response Team,https://www.first.org/members/teams/oxcert
Europe,United Kingdom of Great Britain and Northern Ireland (the),GB,Portcullis Computer Incident Response and Forensics Team,https://www.first.org/members/teams/p-cirf
North America,United States of America (the),US,PAN PSIRT/CSIRT,https://www.first.org/members/teams/palo_alto_networks_security_incident_response_team
Asia,Japan,JP,Panasonic Product Security Incident Response Team,https://www.first.org/members/teams/panasonic_psirt
North America,United States of America (the),US,PayPal Global Security Incident Response Team,https://www.first.org/members/teams/paypal_gsirt
North America,United States of America (the),US,Packet Clearing House,https://www.first.org/members/teams/pch
North America,United States of America (the),US,PepsiCo Global Threat Management &amp; Response,https://www.first.org/members/teams/pepsico
Europe,Poland,PL,PGE-CERT,https://www.first.org/members/teams/pge-cert
Europe,Italy,IT,CERT Poste Italiane,https://www.first.org/members/teams/pi-cert
Europe,Germany,DE,PRE-CERT,https://www.first.org/members/teams/pre-cert
Europe,Belgium,BE,Proximus Cyber Security Incident Response Team,https://www.first.org/members/teams/pxs-csirt
Middle East,Qatar,QA,Qatar CERT,https://www.first.org/members/teams/q-cert
Asia,China,CN,Qi An Xin Group,https://www.first.org/members/teams/qi_an_xin_cert
Asia,Taiwan (Province of China),TW,QNAP Systems Product Security Incident Response Team,https://www.first.org/members/teams/qnap_psirt
Europe,Austria,AT,Raiffeisen Informatik CERT,https://www.first.org/members/teams/r-it_cert
Europe,Netherlands (the),NL,Rabobank Cyber Defense Centre,https://www.first.org/members/teams/rabobank_cdc
Asia,Japan,JP,Rakuten-CERT,https://www.first.org/members/teams/rakuten-cert
North America,United States of America (the),US,Raytheon Computer Emergency Response Team,https://www.first.org/members/teams/raycert
Europe,Portugal,PT,RCTS CERT,https://www.first.org/members/teams/rcts_cert
Asia,Japan,JP,Recruit Cyber Security Incident Response Team,https://www.first.org/members/teams/recruit-csirt
North America,United States of America (the),US,Red Hat Product Security,https://www.first.org/members/teams/red_hat_product_security
Europe,Spain,ES,RedIRIS,https://www.first.org/members/teams/rediris
Europe,Sweden,SE,Region Stockholm CERT,https://www.first.org/members/teams/region_stockholm_cert
Europe,Spain,ES,RENFE-Operadora,https://www.first.org/members/teams/renfe
Europe,Spain,ES,REPSOL CERT,https://www.first.org/members/teams/repsol_cert
North America,United States of America (the),US,Red Hat Information Security Incident Response Team,https://www.first.org/members/teams/rh-isirt
Europe,Switzerland,CH,Richemont CSIRT,https://www.first.org/members/teams/ric-csirt
Asia,Japan,JP,Ricoh Product Security Incident Response Team,https://www.first.org/members/teams/ricoh_psirt
North America,Canada,CA,Research In Motion,https://www.first.org/members/teams/rim_cs-isoc
North America,United States of America (the),US,RiskIQ Incident,https://www.first.org/members/teams/riskiq_i3
North America,United States of America (the),US,Rockwell Automation CSIRT,https://www.first.org/members/teams/rockwell_automation_csirt
Europe,Romania,RO,Agency ARNIEC RoEduNet Computer Security Incident Response Team,https://www.first.org/members/teams/rocsirt
Europe,Russian Federation (the),RU,Computer Security Incident Response Team RU-CERT,https://www.first.org/members/teams/ru-cert
Europe,Germany,DE,Stabsstelle DV-Sicherheit der Universitaet Stuttgart,https://www.first.org/members/teams/rus-cert
Europe,Germany,DE,CERT of the German Savings Banks Organization,https://www.first.org/members/teams/s-cert
Oceania,New Zealand,NZ,Spark Security Incident Response Team,https://www.first.org/members/teams/s-sirt
Europe,Spain,ES,S2 Grupo CERT,https://www.first.org/members/teams/s2_grupo_cert
Europe,Spain,ES,S21sec CERT,https://www.first.org/members/teams/s21sec_cert
Africa,South Africa,ZA,The South African NREN Computer Security Incident Response Team,https://www.first.org/members/teams/sa_nren_csirt
Asia,Singapore,SG,Singapore Armed Forces Computer Emergency Response Team,https://www.first.org/members/teams/safcert
North America,United States of America (the),US,Salesforce.com Computer Security Incident Response Team,https://www.first.org/members/teams/salesforce_csirt
Europe,Spain,ES,Santander Global CERT,https://www.first.org/members/teams/santander_global_cert
Europe,Germany,DE,SAP Cybersecurity,https://www.first.org/members/teams/sap_cybersecurity
North America,United States of America (the),US,SAS PSIRT,https://www.first.org/members/teams/sas_psirt
Middle East,Saudi Arabia,SA,Saudi Aramco CTI,https://www.first.org/members/teams/saudi_aramco
Middle East,Saudi Arabia,SA,Saudi CERT,https://www.first.org/members/teams/saudi_cert
Africa,South Africa,ZA,Standard Bank Group CSIRT,https://www.first.org/members/teams/sbg_csirt
Asia,Malaysia,MY,Standard Chartered Cyber Defence Centre,https://www.first.org/members/teams/sc_cdc
Central America,Mexico,MX,Scitum Cyber Security Incident Response Team,https://www.first.org/members/teams/scitum-cert
Asia,Japan,JP,SECOM Computer Security Incident Response Team,https://www.first.org/members/teams/secom-csirt
Europe,Germany,DE,SECUNET CERT,https://www.first.org/members/teams/secu-cert
Asia,Singapore,SG,Singapore Government IT Security Incident Response Team,https://www.first.org/members/teams/sg-gitsir
South America,Colombia,CO,ShieldNow,https://www.first.org/members/teams/shieldnow
Europe,Slovenia,SI,Slovenian CERT,https://www.first.org/members/teams/si-cert
Europe,Spain,ES,SIA-CEC CERT,https://www.first.org/members/teams/sia-cec_cert
Europe,Netherlands (the),NL,SIDN Computer Security Incident Response Team,https://www.first.org/members/teams/sidn_csirt
Europe,Germany,DE,Siemens CERT,https://www.first.org/members/teams/siemens-cert
Asia,Singapore,SG,Singapore CERT,https://www.first.org/members/teams/singcert
Oceania,Australia,AU,Security Incident Response Control Center,https://www.first.org/members/teams/sircc
Central America,Guatemala,GT,SISAP-CERT,https://www.first.org/members/teams/sisap-cert
Europe,Slovakia,SK,Slovak Computer Emergency Response Team,https://www.first.org/members/teams/sk-cert
Asia,Korea (the Republic of),KR,SKInforsec Computer Incident Response Team,https://www.first.org/members/teams/skinfosec_cirt
South America,Colombia,CO,Security Operations Center Team Claro Colombia,https://www.first.org/members/teams/soc_team_claro_colombia
South America,Colombia,CO,Security Operations Center - Cyber Operations Command Joint,https://www.first.org/members/teams/soc-ccoc
Asia,Japan,JP,SoftBank Computer Security Incident Response Team,https://www.first.org/members/teams/softbank_csirt
Asia,Japan,JP,Sony Product Security Incident Response Team,https://www.first.org/members/teams/sony_psirt
Europe,Norway,NO,SpareBank 1 Incident Response Team,https://www.first.org/members/teams/sparebank_1_irt
Europe,Serbia,RS,National CERT of the Republic of Serbia,https://www.first.org/members/teams/srb-cert
Asia,Sri Lanka,LK,Sri Lanka Computer Emergency Readiness Team|Coordination Center,https://www.first.org/members/teams/sri_lanka_cert-cc
South America,Peru,PE,SecureSoftCorp-Computer Security Incident Response Team,https://www.first.org/members/teams/sscorp-csirt
Middle East,Saudi Arabia,SA,Digital Forensic and Incident Response,https://www.first.org/members/teams/stc_dfir
Africa,Sudan,SD,Sudan Computer Emergency Response Team,https://www.first.org/members/teams/sudan-cert
Europe,Sweden,SE,SUNET CERT,https://www.first.org/members/teams/sunet_cert
Europe,Netherlands (the),NL,SURFcert,https://www.first.org/members/teams/surfcert
North America,United States of America (the),US,Sonicwall PSIRT,https://www.first.org/members/teams/sw_psirt
Europe,Switzerland,CH,Swisscom CSIRT,https://www.first.org/members/teams/swisscom_csirt
Europe,Switzerland,CH,SWITCH-CERT,https://www.first.org/members/teams/switch-cert
North America,United States of America (the),US,SecureWorks Computer Emergency Response Team,https://www.first.org/members/teams/swrx_cert
North America,United States of America (the),US,Symantec Computer Emergency Response Team,https://www.first.org/members/teams/symcert
Asia,Taiwan (Province of China),TW,Synology Product Security Incident Response Team,https://www.first.org/members/teams/synology_psirt
North America,United States of America (the),US,Target Cyber Fusion Center Computer Security Incident Response Team,https://www.first.org/members/teams/target_cfc_csirt
Europe,Norway,NO,The Norwegian Tax Administration Operational Security Team,https://www.first.org/members/teams/tax-irt
Asia,Thailand,TH,Thailand Banking Sector CERT,https://www.first.org/members/teams/tb-cert
Europe,Norway,NO,Telenor CERT,https://www.first.org/members/teams/tcert
North America,Canada,CA,TDBFG Computer Security Incident Response Team,https://www.first.org/members/teams/tdbfg_csirt
Europe,Denmark,DK,TDC Security Operations Center,https://www.first.org/members/teams/tdc_soc
North America,United States of America (the),US,Team Cymru,https://www.first.org/members/teams/team_cymru
Asia,Sri Lanka,LK,TechCERT,https://www.first.org/members/teams/techcert
Europe,Spain,ES,Telefonica CSIRT,https://www.first.org/members/teams/telefonica-csirt
Europe,Sweden,SE,Telia Company CERT,https://www.first.org/members/teams/teliacert
Oceania,Australia,AU,Telstra Computer Emergency Response Team,https://www.first.org/members/teams/telstra_t-cert
Asia,Japan,JP,TEPCO Security Incident Response Team,https://www.first.org/members/teams/tepco-sirt
South America,Peru,PE,TERIS Telefonica Security Incidents Response Team,https://www.first.org/members/teams/teris
Europe,Italy,IT,Computer Emergency Readiness Team - Terna,https://www.first.org/members/teams/terna-cert
Asia,Thailand,TH,Thailand Computer Emergency Response Team,https://www.first.org/members/teams/thaicert
Central America,Mexico,MX,TIC DEFENSE-CERT,https://www.first.org/members/teams/tic_defense-cert
North America,United States of America (the),US,Texas Instruments Security Operations Center,https://www.first.org/members/teams/tisoc
Europe,Germany,DE,thyssenkrupp CERT,https://www.first.org/members/teams/tk_cert
Asia,Taiwan (Province of China),TW,Trend Micro CSIRT,https://www.first.org/members/teams/tm-csirt
Asia,Japan,JP,TOSHIBA Security Incident Response Team,https://www.first.org/members/teams/toshiba-sirt
Europe,Turkey,TR,National Cyber Security Incident Response Team,https://www.first.org/members/teams/tr-cert
Asia,Singapore,SG,Trustwave SG SOC Cyber Security Incident Response Team,https://www.first.org/members/teams/trustwave_sg_soc_csirt
Asia,Kazakhstan,KZ,Transtelecom Computer Security Incident Response Team,https://www.first.org/members/teams/ttc-csirt
Africa,Tunisia,TN,Tunisian Computer Emergency Response Team,https://www.first.org/members/teams/tuncert
Africa,Tunisia,TN,Tunisian FinancialCERT,https://www.first.org/members/teams/tunisian_financialcert
Europe,Turkey,TR,Turkcell Cyber Defence Center Team,https://www.first.org/members/teams/turkcell_cdc
Europe,Turkey,TR,Turkcell Security Operation Center team,https://www.first.org/members/teams/turkcell_soc
Asia,Taiwan (Province of China),TW,Taiwan Computer Emergency Response Team/Coordination Center,https://www.first.org/members/teams/twcert-cc
Asia,Taiwan (Province of China),TW,Taiwan Computer Security Incident Response Team,https://www.first.org/members/teams/twcsirt
Asia,Taiwan (Province of China),TW,Taiwan National Computer Emergency Response Team,https://www.first.org/members/teams/twncert
Africa,Tanzania,TZ,TZ-CERT,United Republic of
North America,United States of America (the),US,UB-First,https://www.first.org/members/teams/ub-first
Europe,Switzerland,CH,Cybercrime Intelligence &amp; Forensic Investigation,https://www.first.org/members/teams/ubs_cifi
Europe,XK,Kosovo,Computer Emergency Response Team of UBT,https://www.first.org/members/teams/ubt-cert
North America,United States of America (the),US,Unisys CERT,https://www.first.org/members/teams/ucert
Africa,South Africa,ZA,University of Cape Town Computer Security Incident Response Team,https://www.first.org/members/teams/uct_csirt
North America,United States of America (the),US,Unified Extensible Firmware Interface Forum Security Team,https://www.first.org/members/teams/uefi_usrt
Africa,Uganda,UG,Uganda Computer Emergency Response Team,https://www.first.org/members/teams/ug-cert
Europe,Norway,NO,University of Oslo Computer Emergency Response Team,https://www.first.org/members/teams/uio-cert
Central America,Mexico,MX,UNAM-CERT,https://www.first.org/members/teams/unam-cert
North America,United States of America (the),US,UNDP ISIRT,https://www.first.org/members/teams/undp_isirt
North America,United States of America (the),US,United Nations International Computing Centre,https://www.first.org/members/teams/unicc
Europe,Norway,NO,Uninett CERT,https://www.first.org/members/teams/uninett_cert
Oceania,New Zealand,NZ,University of Auckland Computer Incident Respsonse Team,https://www.first.org/members/teams/uoa_csirt
North America,United States of America (the),US,U.S. Bank Computer Security Incident Response Team,https://www.first.org/members/teams/usb-csirt
North America,United States of America (the),US,Verisign,https://www.first.org/members/teams/verisign
North America,United States of America (the),US,Verizon Media Computer Security Incident Response Team,https://www.first.org/members/teams/verizon_media_fire
Europe,Spain,ES,Versia-CSIRT,https://www.first.org/members/teams/versia-csirt
Europe,Norway,NO,Visma Cyber Security Incident Response Team / Coordination Center,https://www.first.org/members/teams/visma_csirt-cc
North America,United States of America (the),US,VMware Security Response Center,https://www.first.org/members/teams/vmware
Asia,Vietnam,VN,VNCERT/CC,https://www.first.org/members/teams/vncert
Europe,United Kingdom of Great Britain and Northern Ireland (the),GB,Vodafone-CERT,https://www.first.org/members/teams/vodafone-cert
North America,United States of America (the),US,Verizon Threat Management Center,https://www.first.org/members/teams/vz-tmc
Europe,United Kingdom of Great Britain and Northern Ireland (the),GB,The University of Warwick Computer Security Investigation and Incident Response Team,https://www.first.org/members/teams/war-csiirt
North America,United States of America (the),US,Wells Fargo Security Operation Center(SOC),https://www.first.org/members/teams/wfc_soc
North America,United States of America (the),US,Workday Security Incident Response Team,https://www.first.org/members/teams/workday_sirt
North America,United States of America (the),US,Xilinx Product Security Incident Response Team,https://www.first.org/members/teams/xilinx_psirt
North America,United States of America (the),US,XEROX CSIRT,https://www.first.org/members/teams/xrx
Europe,Italy,IT,Yarix Computer Emergency Response Team,https://www.first.org/members/teams/ycert
Asia,Japan,JP,Yahoo Japan Corp. Computer Security Incident Response Team,https://www.first.org/members/teams/yj-csirt
Europe,Netherlands (the),NL,Stichting Z-CERT,https://www.first.org/members/teams/z-cert
North America,United States of America (the),US,Zendesk,https://www.first.org/members/teams/zendesk_csirt
Africa,Zambia,ZM,Zambia Computer Incident Response Team,https://www.first.org/members/teams/zmcirt
Asia,China,CN,ZTE Product Security Incident Response Team,https://www.first.org/members/teams/zte_psirt
